Town Name	Continent	Country	Region (State/Province)	Retirement Category
Sarandë	Europe	Albania	Vlorë	Mediterranean
Pago Pago	Oceania	American Samoa	Tutuila	Oceania
Saint John's	North America	Antigua and Barbuda	Saint John	Caribbean
Bariloche	South America	Argentina	Río Negro	South America
Buenos Aires	South America	Argentina	Buenos Aires	South America
Mendoza	South America	Argentina	Mendoza	South America
Oranjestad	North America	Aruba	Aruba	Caribbean
Sydney	Oceania	Australia	New South Wales	Australia & New Zealand
Adelaide	Oceania	Australia	South Australia	Australia & New Zealand
Canberra	Oceania	Australia	Australian Capital Territory	Australia & New Zealand
Sunshine Coast	Oceania	Australia	Queensland	Australia & New Zealand
Coffs Harbour	Oceania	Australia	New South Wales	Australia & New Zealand
Gold Coast	Oceania	Australia	Queensland	Australia & New Zealand
Hervey Bay	Oceania	Australia	Queensland	Australia & New Zealand
Hobart	Oceania	Australia	Tasmania	Australia & New Zealand
Melbourne	Oceania	Australia	Victoria	Australia & New Zealand
Newcastle (Aus)	Oceania	Australia	New South Wales	Australia & New Zealand
Perth	Oceania	Australia	Western Australia	Australia & New Zealand
Port Macquarie	Oceania	Australia	New South Wales	Australia & New Zealand
Victor Harbor	Oceania	Australia	South Australia	Australia & New Zealand
Vienna	Europe	Austria	Capital Region	Europe
Nassau	North America	Bahamas	New Providence	Caribbean
George Town (Exuma)	North America	Bahamas	Great Exuma	Caribbean
Bridgetown	North America	Barbados	Saint Michael	Caribbean
Tervuren	Europe	Belgium	Flemish Brabant	Europe
Bruges	Europe	Belgium	(Central)	Europe
Dinant	Europe	Belgium	Namur (Wallonia)	Europe
Ghent	Europe	Belgium	East Flanders	Europe
Leuven	Europe	Belgium	Flemish Brabant	Europe
Placencia	North America	Belize	Stann Creek	Central America
San Pedro (Ambergris Caye)	North America	Belize	San Pedro (Ambergris Caye)	Central America
Corozal	North America	Belize	Corozal	Central America
San Ignacio	North America	Belize	Cayo	Central America
Gaborone	Africa	Botswana	South-East	Africa
Florianópolis	South America	Brazil	Santa Catarina	South America
Road Town	North America	British Virgin Islands	Tortola	Caribbean
Siem Reap	Asia	Cambodia	Siem Reap	Asia
Phnom Penh	Asia	Cambodia	Phnom Penh	Asia
Kampot	Asia	Cambodia	Kampot	Asia
Calgary	North America	Canada	Alberta	North America
Halifax	North America	Canada	Nova Scotia	North America
Charlottetown	North America	Canada	Prince Edward Island	North America
Kelowna	North America	Canada	British Columbia	North America
Kingston	North America	Canada	Ontario	North America
London (ON)	North America	Canada	Ontario	North America
Moncton	North America	Canada	New Brunswick	North America
Niagara-on-the-Lake	North America	Canada	Ontario	North America
Ottawa	North America	Canada	Ontario	North America
Victoria	North America	Canada	British Columbia	North America
Santiago	South America	Chile	Santiago	South America
Valparaíso	South America	Chile	Valparaíso	South America
La Serena	South America	Chile	Coquimbo	South America
Viña del Mar	South America	Chile	Valparaíso	South America
Cartagena	South America	Colombia	Bolívar	South America
Santa Marta	South America	Colombia	Magdalena	South America
Villa de Leyva	South America	Colombia	Boyacá	South America
Rarotonga (Avarua)	Oceania	Cook Islands	Rarotonga	Oceania
Atenas	North America	Costa Rica	Alajuela	Central America
Escazú	North America	Costa Rica	San José	Central America
Grecia	North America	Costa Rica	Alajuela	Central America
Dubrovnik	Europe	Croatia	Dubrovnik-Neretva	Mediterranean
Rovinj	Europe	Croatia	Istria	Mediterranean
Sibenik	Europe	Croatia	Dalmatia	Mediterranean
Pula	Europe	Croatia	Istria	Mediterranean
Trogir	Europe	Croatia	Dalmatia	Mediterranean
Zadar	Europe	Croatia	Zadar	Mediterranean
Willemstad	North America	Curacao	Curacao	Caribbean
Paphos	Europe	Cyprus	Paphos	Mediterranean
Limassol	Europe	Cyprus	Limassol	Mediterranean
Cesky Krumlov	Europe	Czech Republic	South Bohemian	Europe
Prague	Europe	Czech Republic	Capital City	Europe
Roseau	North America	Dominica	Saint George	Caribbean
Santo Domingo	North America	Dominican Republic	Distrito Nacional	Caribbean
Las Terrenas	North America	Dominican Republic	Samaná	Caribbean
Punta Cana	North America	Dominican Republic	La Altagracia	Caribbean
Sosúa	North America	Dominican Republic	Puerto Plata	Caribbean
Cotacachi	South America	Ecuador	Imbabura	South America
Cuenca	South America	Ecuador	Azuay	South America
Loja	South America	Ecuador	Loja	South America
Manta	South America	Ecuador	Manabí	South America
Quito	South America	Ecuador	Pichincha	South America
Salinas	South America	Ecuador	Santa Elena	South America
Vilcabamba	South America	Ecuador	Loja	South America
Hurghada	Africa	Egypt	Red Sea	Africa
Tallinn	Europe	Estonia	Harju	Europe
Pohnpei	Oceania	Federal States of Micronesia	Pohnpei	Oceania
Annecy	Europe	France	Haute-Savoie	Europe
Antibes	Europe	France	Alpes-Maritimes	Mediterranean
Bordeaux	Europe	France	Nouvelle-Aquitaine	Europe
Cannes	Europe	France	Alpes-Maritimes	Mediterranean
Lyon	Europe	France	Rhône	Europe
Montpellier	Europe	France	Hérault	Mediterranean
Nice	Europe	France	Alpes-Maritimes	Mediterranean
Paris	Europe	France	Île-de-France	Europe
Toulouse	Europe	France	Haute-Garonne	Europe
Bora Bora	Oceania	French Polynesia	Leeward Islands	Oceania
Moorea	Oceania	French Polynesia	Windward Islands	Oceania
Tahiti (Papeete)	Oceania	French Polynesia	Windward Islands	Oceania
Batumi	Asia	Georgia	Adjara	Asia
Tbilisi	Asia	Georgia	Tbilisi	Asia
Berlin	Europe	Germany	Berlin	Europe
Freiburg	Europe	Germany	Baden-Württemberg	Europe
Heidelberg	Europe	Germany	Baden-Württemberg	Europe
Munich	Europe	Germany	Bavaria	Europe
Athens	Europe	Greece	Attica	Mediterranean
Crete (Heraklion)	Europe	Greece	Crete	Mediterranean
Rhodes	Europe	Greece	South Aegean	Mediterranean
Santorini	Europe	Greece	South Aegean	Mediterranean
Thessaloniki	Europe	Greece	Central Macedonia	Mediterranean
Saint George's	North America	Grenada	Saint George	Caribbean
Tumon	Oceania	Guam	Tumon	Oceania
Antigua Guatemala	North America	Guatemala	Sacatepéquez	Central America
Lake Atitlán (Panajachel)	North America	Guatemala	Sololá	Central America
Georgetown	South America	Guyana	Demerara-Mahaica	South America
Roatán	North America	Honduras	Bay Islands	Central America
Budapest	Europe	Hungary	Budapest	Europe
Reykjavik	Europe	Iceland	Capital Region	Europe
Goa (Panaji)	Asia	India	Goa	Asia
Pondicherry	Asia	India	Puducherry	Asia
Bali (Ubud)	Asia	Indonesia	Bali	Asia
Bali (Canggu)	Asia	Indonesia	Bali	Asia
Lombok	Asia	Indonesia	West Nusa Tenggara	Asia
Cork	Europe	Ireland	County Cork	Europe
Dublin	Europe	Ireland	County Dublin	Europe
Galway	Europe	Ireland	County Galway	Europe
Tel Aviv	Asia	Israel	Tel Aviv	Mediterranean
